cohort,module,stratum,metric,point_estimate,valid_replicates,bootstrap_mean,bootstrap_sd,ci_low,bootstrap_median,ci_high
ELSA,wealth_by_sex,female_minus_male,contribution_post_disability_mortality,0.134850820571322,500,0.155239214809524,0.164884038485694,-0.154509572186276,0.159502656415864,0.469304664837345
ELSA,wealth_by_sex,female_minus_male,contribution_pre_disability_mortality,0.407514015859489,500,0.454518024149514,0.416343799709561,-0.359507812569919,0.471057829413043,1.20486881062039
ELSA,wealth_by_sex,female_minus_male,contribution_recovery,-0.480519979601522,500,-0.447431056880978,0.210522463858444,-0.853186073990952,-0.459015452501773,-0.0422063281437638
ELSA,wealth_by_sex,female_minus_male,contribution_relapse,-0.394691441618602,500,-0.411106741686763,0.17421522363858,-0.771865476554098,-0.402254602479401,-0.0646293659580576
ELSA,wealth_by_sex,female_minus_male,gap_dfle,-0.23783777718279,500,-0.127239007320537,0.629044737361376,-1.34020466878353,-0.139896953787113,1.17890010062994
ELSA,wealth_by_sex,female_minus_male,high_dfle,1.3446425281452,500,1.17446713721185,0.486729260010168,0.187119100718338,1.21206948236859,2.05310136050563
ELSA,wealth_by_sex,female_minus_male,low_dfle,1.1068047509624,500,1.04722812989131,0.434044042750125,0.142051716727683,1.03869217622985,1.89258859676717
ELSA,wealth_by_sex,female_minus_male,recovery_relapse_contribution,-0.87521142122013,500,-0.85853779856774,0.285334487928389,-1.44759007353788,-0.86323020209214,-0.290678430737741
ELSA,wealth_by_sex,female_minus_male,recovery_relapse_percent,14.0491248781771,500,14.2474900498077,4.84146286751344,4.3408058009949,14.2196847697987,24.0388589934628
ELSA,wealth_by_sex,male,contribution_onset,-2.97922431660118,500,-2.98047566158876,0.34129722811472,-3.68490823986417,-2.98009664092041,-2.3380200817266
ELSA,wealth_by_sex,male,contribution_post_disability_mortality,-0.542588605977789,500,-0.55167461786317,0.120796931683508,-0.781209645791274,-0.552646824217226,-0.31118351922506
ELSA,wealth_by_sex,male,contribution_pre_disability_mortality,-1.13073376931736,500,-1.14659588125231,0.357350965852257,-1.85636594154927,-1.14252321185661,-0.402116222569567
ELSA,wealth_by_sex,male,contribution_recovery,-0.675671817795958,500,-0.723849967729088,0.135253633735031,-0.984252225189216,-0.721510296622335,-0.472568348417947
ELSA,wealth_by_sex,male,contribution_relapse,-0.356271039721113,500,-0.335223124501199,0.106190906693686,-0.538263199450536,-0.336078758560249,-0.128681936225875
ELSA,wealth_by_sex,male,gap_dfle,-5.6844895494134,500,-5.73781925293453,0.492140799581896,-6.6740405516405,-5.747060554346,-4.78116327865577
ELSA,wealth_by_sex,male,high_dfle,20.5824018575016,500,20.6963949716432,0.369487453848159,20.0363332384004,20.6667408917862,21.4958210054959
ELSA,wealth_by_sex,male,low_dfle,14.8979123080882,500,14.9585757187086,0.345440917166675,14.2954059094309,14.9406523210668,15.6563427688771
ELSA,wealth_by_sex,male,recovery_relapse_contribution,-1.03194285751707,500,-1.05907309223029,0.175828969702275,-1.40421981787011,-1.05355287403676,-0.697555267752238
ELSA,wealth_by_sex,male,recovery_relapse_percent,18.1536591552633,500,18.5276980484964,3.11409731733778,12.4192085438717,18.3760564620818,24.785605596074
HRS,wealth_by_sex,female,contribution_onset,-2.878122745261,500,-2.87378521439479,0.215067244609465,-3.32745037142363,-2.87008144082896,-2.4655816174235
HRS,wealth_by_sex,female,contribution_post_disability_mortality,-0.226293754729381,500,-0.234365511498143,0.0545855677458444,-0.337350238980102,-0.23491805341433,-0.121588549105654
HRS,wealth_by_sex,female,contribution_pre_disability_mortality,-1.19679360300126,500,-1.19260603848438,0.142976275451957,-1.46178922640585,-1.18696453746374,-0.915378636735752
HRS,wealth_by_sex,female,contribution_recovery,-0.997751540504871,500,-1.00223937326503,0.115603813580266,-1.23193487255908,-0.996938326842269,-0.782948731482714
HRS,wealth_by_sex,female,contribution_relapse,-0.466553725841403,500,-0.463652996946351,0.0796829732392998,-0.6227487517175,-0.463679878457778,-0.303352089326193
HRS,wealth_by_sex,female,gap_dfle,-5.76551536933793,500,-5.7666491345887,0.285328984763239,-6.36089111477954,-5.76072717735702,-5.20501636801068
HRS,wealth_by_sex,female,high_dfle,22.3255927619701,500,22.3411367206184,0.206839471911307,21.9629000732656,22.3342340266948,22.7646277071345
HRS,wealth_by_sex,female,low_dfle,16.5600773926322,500,16.5744875860297,0.197833879193295,16.1829854415354,16.5681746907901,16.9781964164119
HRS,wealth_by_sex,female,recovery_relapse_contribution,-1.46430526634627,500,-1.46589237021138,0.143177114455471,-1.75454761342232,-1.46528182491509,-1.17327666358183
HRS,wealth_by_sex,female,recovery_relapse_percent,25.3976474355392,500,25.431929332587,2.28644060986335,21.1793768970783,25.5026695753628,29.7377679957
HRS,wealth_by_sex,female_minus_male,contribution_onset,-0.42836623115858,500,-0.392704367937706,0.299990444701793,-0.976104254757085,-0.385521127492625,0.237953227216366
HRS,wealth_by_sex,female_minus_male,contribution_post_disability_mortality,0.048741379682223,500,0.0504439414750817,0.0938116483371624,-0.121307755408354,0.0489528760562485,0.235706528213858
HRS,wealth_by_sex,female_minus_male,contribution_pre_disability_mortality,0.84934546874468,500,0.797726217955689,0.270883822524944,0.276192843539842,0.775470722482744,1.33206493222366
HRS,wealth_by_sex,female_minus_male,contribution_recovery,-0.257053033809242,500,-0.253817920180267,0.1738622472331,-0.590223943602509,-0.248284814666515,0.0933540805792652
HRS,wealth_by_sex,female_minus_male,contribution_relapse,-0.224232737982492,500,-0.218335042280488,0.120134326657606,-0.476906122763912,-0.216907774316643,0.0084730920213086
